Tag,出现次数,中文描述,权重,类别,类别名称
fictional_character,32,虚构( C),0.0078,1,人物与生命（Person & Life）
bisac,31,双子,0.0075,,
tvepg,31,视频,0.0075,,
ballet,31,芭蕾舞团,0.0075,5,事件与活动（Event）
bandom,31,乐队,0.0075,,
player,31,播放器,0.0075,1,人物与生命（Person & Life）
catalog,31,目录,0.0075,,
soprano,31,女高音,0.0075,,
inventor,31,发明者,0.0075,1,人物与生命（Person & Life）
fairestcat,31,最美的猫,0.0075,1,人物与生命（Person & Life）
malemodels,31,男性模特,0.0075,1,人物与生命（Person & Life）
poetrybase,31,诗歌库,0.0075,7,物品与产品（Product & Object）
zxspectrum,31,zx光谱,0.0075,,
collectives,31,集体,0.0075,,
carmenmfenn1,31,车门芬1,0.0075,,
film_company,31,电影 公司,0.0075,2,组织与机构（Organization）
magazine_genre,31,杂志流派( G),0.0075,4,创作与娱乐作品（Creative Work）
medical_treatment,31,医疗-治疗,0.0075,6,学科与概念（Concept & Subject）
unitary_authority,31,统一权限( A),0.0075,,
states_i_ve_been_to,31,状态 i ve been to,0.0075,,
pinball_machine_basis,31,弹球  机器  基础,0.0075,,
bisac_equivalent_subject,31,birac 等效 主题,0.0075,6,学科与概念（Concept & Subject）
shanghaiinternationalfilmfestival,31,上海国际电影节,0.0075,5,事件与活动（Event）
former_british_colonies_and_dominions,31,前   英国   殖民地   和   殖民地,0.0075,3,地点与地理（Location）
in,30,输入,0.0073,9,其他（Others）
it,30,这个,0.0073,9,其他（Others）
jp,30,jp (帮助),0.0073,,
abcbirds,30,鸟类,0.0073,1,人物与生命（Person & Life）
abh_city,30,abh 城市(城市),0.0073,3,地点与地理（Location）
cheunger,30,厨师,0.0073,,
sfawards,30,沙发,0.0073,,
hsisjason,30,希西贾森语Name,0.0073,,
real_place,30,实际位置,0.0073,3,地点与地理（Location）
crime_victim,30,犯罪 受害人,0.0073,1,人物与生命（Person & Life）
noble_person,30,高级人物,0.0073,1,人物与生命（Person & Life）
shapedcities,30,形状城市,0.0073,8,属性与度量（Attribute & Measurement）
nitromaster101,30,硝化炉101,0.0073,1,人物与生命（Person & Life）
school_category,30,学校类别,0.0073,8,属性与度量（Attribute & Measurement）
world_cup_squad,30,世界( C),0.0073,8,属性与度量（Attribute & Measurement）
datedlocationtest,30,日期定位测试,0.0073,,
government_agency,30,政府机构,0.0073,2,组织与机构（Organization）
onlineadvertising,30,在线广告,0.0073,7,物品与产品（Product & Object）
radio_station_owner,30,电台 站台 所有者,0.0073,1,人物与生命（Person & Life）
jewish_studies_field,30,犹太语  研究  field,0.0073,6,学科与概念（Concept & Subject）
sports_championship_event,30,运动( C),0.0073,5,事件与活动（Event）
ncaa_basketball_tournament,30,ncaa 篮球 进球,0.0073,5,事件与活动（Event）
national_basketball_association_team,30,国家 篮球 协会 团队,0.0073,2,组织与机构（Organization）
chess,29,象棋,0.007,7,物品与产品（Product & Object）
skills,29,技能,0.007,8,属性与度量（Attribute & Measurement）
authors,29,作者,0.007,1,人物与生命（Person & Life）
reviewed_topic,29,审查的专题,0.007,6,学科与概念（Concept & Subject）
fishery_location,29,渔场位置,0.007,3,地点与地理（Location）
court_jurisdiction_area,29,法院 管辖权 区域,0.007,3,地点与地理（Location）
embassies_and_consulates,29,使馆( A),0.007,,
aliens,28,外国人,0.0068,1,人物与生命（Person & Life）
animanga,28,阿尼曼加语Name,0.0068,,
invention,28,发明,0.0068,7,物品与产品（Product & Object）
vancouver,28,范库弗,0.0068,,
thadguidry,28,红色,0.0068,,
product_theme,28,产品 主题,0.0068,4,创作与娱乐作品（Creative Work）
unitednations,28,联合,0.0068,8,属性与度量（Attribute & Measurement）
indianelections,28,印第安人选举,0.0068,,
publishing_company,28,发布  公司,0.0068,2,组织与机构（Organization）
internet_video_actor,28,互联网 视频 演员,0.0068,1,人物与生命（Person & Life）
ufo_sighting_location,28,视点 位置,0.0068,3,地点与地理（Location）
world_cup_participant,28,世界语   cup  参与者,0.0068,1,人物与生命（Person & Life）
non_metropolitan_district,28,非大都会  区,0.0068,3,地点与地理（Location）
uk_non_metropolitan_district,28,uk not metropolitan district (中文(简体) ).,0.0068,3,地点与地理（Location）
mmmpr,27,毫米pr,0.0066,,
science,27,科学,0.0066,6,学科与概念（Concept & Subject）
sharing,27,共享,0.0066,,
chess_player,27,围棋玩家,0.0066,1,人物与生命（Person & Life）
film_character,27,胶片( C),0.0066,,
tv_station_owner,27,tv 站点 所有者,0.0066,1,人物与生命（Person & Life）
business_location,27,商务( L),0.0066,3,地点与地理（Location）
sports_team_owner,27,运动   团队  拥有者,0.0066,1,人物与生命（Person & Life）
educational_degree,27,学历,0.0066,8,属性与度量（Attribute & Measurement）
creativemindsatwork,27,创意卫星工作,0.0066,,
organization_partnership,27,组织-伙伴关系,0.0066,8,属性与度量（Attribute & Measurement）
surprisingly_tall_people,27,令人惊讶的 Tall people,0.0066,1,人物与生命（Person & Life）
melbourneinternationalfilmfestival,27,国际电影节,0.0066,5,事件与活动（Event）
nl,26,无,0.0063,,
family,26,家庭,0.0063,6,学科与概念（Concept & Subject）
obamabase,26,奥巴马基地,0.0063,,
scubadiving,26,恶作剧,0.0063,,
songwriters,26,作曲家,0.0063,1,人物与生命（Person & Life）
thebigpitch,26,大块头,0.0063,,
thesocialset,26,社会集,0.0063,,
uk_civil_parish,26,uk 民用   parish,0.0063,,
exhibition_sponsor,26,展览( P),0.0063,2,组织与机构（Organization）
infectious_disease,26,传染性疾病,0.0063,6,学科与概念（Concept & Subject）
olympic_bidding_city,26,奥林匹克  投标  城市,0.0063,3,地点与地理（Location）
uk_unitary_authority,26,uk  统一处理法 权威,0.0063,,
notable_author_of_a_lit_movement,26,注意( A),0.0063,,
mt,25,吨数,0.0061,,
subject,25,主题,0.0061,6,学科与概念（Concept & Subject）
customer,25,客户,0.0061,1,人物与生命（Person & Life）
edgarpoe,25,编辑,0.0061,,
splitter,25,分隔符,0.0061,,
cityscape,25,城市风景,0.0061,,
pixarfilms,25,像素胶片,0.0061,7,物品与产品（Product & Object）
casino_theme,25,赌场主题,0.0061,4,创作与娱乐作品（Creative Work）
northcarolina,25,北卡罗琳娜州,0.0061,3,地点与地理（Location）
postneolithic,25,后石学,0.0061,,
endofallthings,25,一切的尽头,0.0061,,
school_subject,25,学校 学科,0.0061,,
split_completed,25,拆分( 已完成),0.0061,,
compositional_form,25,组成( F),0.0061,,
conference_subject,25,会议 主题,0.0061,6,学科与概念（Concept & Subject）
disputed_location_claimant,25,有争议的位置( C),0.0061,,
government_office_category,25,政府 办公室 类别,0.0061,,
aptamer,24,贴纸,0.0058,,
fblinux,24,fblinux 函数,0.0058,,
gleebase,24,弹簧,0.0058,,
in_state,24,状态,0.0058,,
structure,24,结构,0.0058,,
cdnpolitics,24,政治学,0.0058,,
jobmastates,24,工作状态,0.0058,,
spaceflight,24,空间飞行,0.0058,,
gratefuldead,24,谢天谢地,0.0058,,
speech_topic,24,语音( T),0.0058,,
military_post,24,军职,0.0058,,
athletics_country,24,田径 国家,0.0058,,
airtrafficmanagement,24,空中交通管理,0.0058,,
recreational_drug_user,24,娱乐( D),0.0058,,
thing_of_disputed_value,24,争议值( O),0.0058,,
poldb,23,波尔德b,0.0056,,
dublin,23,哑弹,0.0056,,
chivalry,23,骑士,0.0056,,
prisoner,23,囚犯,0.0056,,
danceporn,23,舞诗,0.0056,,
food_extra,23,外购,0.0056,,
vietnamwar,23,维埃特南瓦尔省,0.0056,,
musicvideos,23,音乐视频,0.0056,,
worldhiphop,23,世界跳动,0.0056,,
irish_county,23,爱尔兰语( C),0.0056,,
software_genre,23,软件流派( G),0.0056,,
sprocketonline,23,闪烁线,0.0056,,
tv_program_extra,23,tv 程序外,0.0056,,
fictional_job_title,23,虚构 job 标题,0.0056,,
football_team_extra,23,橄榄球  团队  外部,0.0056,,
government_office_or_title,23,政府( O),0.0056,,
drug,22,药物,0.0053,,
dqbase,22,dq 基数,0.0053,,
fandom,22,风扇,0.0053,,
lostbase,22,损失基地,0.0053,,
bond_film,22,连接( F),0.0053,,
character,22,字符,0.0053,,
dataworld,22,数据世界,0.0053,,
dog_breed,22,犬类( B),0.0053,,
economics,22,经济学,0.0053,,
cannapedia,22,坎纳佩迪娅,0.0053,,
ingredient,22,成分,0.0053,,
postal_code,22,邮政编码,0.0053,,
horticulture,22,园艺,0.0053,,
jewishstudies,22,犹太研究,0.0053,,
wine_sub_region,22,葡萄酒   亚区域,0.0053,,
product_category,22,产品 类别,0.0053,,
basketball_player,22,篮球  玩家,0.0053,,
sports_league_draft,22,运动( L),0.0053,,
ncaa_basketball_team,22,ncaa 篮球 队,0.0053,,
recurring_competition,22,经常性( C),0.0053,,
venture_funded_company,22,投资  供资  公司,0.0053,,
honorary_degree_recipient,22,荣誉 度 接受者,0.0053,,
computer_manufacturer_brand,22,计算机 制造商 品牌,0.0053,,
nz,21,无,0.0051,,
animal,21,动物,0.0051,,
blocks,21,块,0.0051,,
branch,21,分支,0.0051,,
product,21,产品,0.0051,,
montreal,21,蒙特雷尔,0.0051,,
giftcards,21,礼品卡,0.0051,,
godparent,21,父亲,0.0051,,
landcover,21,土地覆盖,0.0051,,
micahsaul,21,微萨乌尔,0.0051,,
prefecture,21,省会,0.0051,,
royal_line,21,皇家线条,0.0051,,
advertising,21,广告,0.0051,,
techgnostic,21,技术,0.0051,,
whedonverse,21,转弯,0.0051,,
tv_crew_role,21,tv 乘员 作用,0.0051,,
body_of_water,21,单位 水,0.0051,,
recurring_event,21,重复活动( E),0.0051,,
theater_company,21,剧场 公司,0.0051,,
anime_manga_genre,21,anime manga 流派,0.0051,,
character_species,21,字符( S),0.0051,,
comic_book_writer,21,漫画   书写器,0.0051,,
eventparticipants,21,活动参与者,0.0051,,
known_participants,21,已知参与者( S),0.0051,,
political_ideology,21,政治意识形态,0.0051,,
collection_category,21,收藏类( C),0.0051,,
film_festival_event,21,电影 庆典 活动,0.0051,,
vaudeville_performer,21,阴道ville performer,0.0051,,
condition_prevention_factors,21,条件  预防  因素,0.0051,,
obsessive_compulsive_celebrity,21,强迫性   强制性   名人,0.0051,,
hangy,20,悬浮,0.0049,,
common,20,常见,0.0049,8,属性与度量（Attribute & Measurement）
bassist,20,贝斯手,0.0049,,
ecology,20,生态学,0.0049,,
benvvalk,20,本夫瓦尔克,0.0049,,
building,20,大楼,0.0049,,
myschool,20,我的学校,0.0049,,
badpeople,20,恶人,0.0049,,
thewestwing,20,西侧,0.0049,,
wine_region,20,葡萄酒区域,0.0049,,
neighborhood,20,邻里,0.0049,,
nris_listing,20,正则列表( I),0.0049,,
music_teacher,20,音乐   老师,0.0049,,
infrastructure,20,基础设施,0.0049,,
consumer_product,20,消费 产品,0.0049,,
art_period_movement,20,艺术 期间 移动,0.0049,,
moby_output_descriptor,20,暴徒 输出 描述器,0.0049,,
unitary_authority_plain,20,单体 权威  plain,0.0049,,
date,19,日期,0.0046,,
bibkn,19,双节,0.0046,,
bryan,19,布朗语Name,0.0046,,
viral,19,病毒,0.0046,,
lm5290,19,5290马镑,0.0046,,
qateef,19,卡塔尔f,0.0046,,
fashion,19,时尚,0.0046,,
in_city,19,城市内( C),0.0046,,
anglican,19,英国圣公会,0.0046,,
dystopia,19,鸡尾酒,0.0046,,
litigant,19,诉讼人,0.0046,,
tfmorris,19,tforris (英语),0.0046,,
amino_acid,19,氨基酸性,0.0046,,
base_topic,19,碱基 主题,0.0046,,
twinned_town,19,双胞胎镇( T),0.0046,,
book_character,19,书名( C),0.0046,,
drafted_athlete,19,已起草( R),0.0046,,
music_publisher,19,音乐( P),0.0046,,
stimulustracking,19,刺激跟踪,0.0046,,
building_function,19,图标( 函数),0.0046,,
comic_strip_genre,19,漫画  strip 流派,0.0046,,
system_of_nobility,19,系统( O),0.0046,,
architectural_style,19,建筑样式,0.0046,,
significant_follower,19,符号( F),0.0046,,
scientologist_actors_2,19,科学家  演员  2,0.0046,,
icon,18,图标,0.0044,,
island,18,岛屿,0.0044,,
sandos,18,凉鞋,0.0044,,
tennis,18,网球,0.0044,,
jschell,18,切尔,0.0044,,
thewire,18,线条,0.0044,,
almabase,18,阿尔马巴,0.0044,,
deadwood,18,废柴,0.0044,,
sxswfilm,18,缩写,0.0044,,
satelites,18,锡铁石,0.0044,,
metabolite,18,代谢物,0.0044,,
cvg_platform,18,cvg 平台,0.0044,,
martial_arts,18,武术,0.0044,,
smarthistory,18,智能历史,0.0044,,
fr_department,18,部门,0.0044,,
jp_prefecture,18,省会( P),0.0044,,
mediaextended,18,媒体延伸,0.0044,,
disabled_person,18,禁用人员,0.0044,,
murdered_person,18,被谋杀者( P),0.0044,,
snl_fiver_timer,18,时间( T),0.0044,,
conference_sponsor,18,大会( P),0.0044,,
associationfootball,18,连足球,0.0044,,
sponsored_recipient,18,赞助者( R),0.0044,,
former_spanish_colonies,18,前西班牙语   殖民地,0.0044,,
morally_disputed_activity,18,道德争议  活动,0.0044,,
location_of_biosafety_facility,18,地点 生物安全 设施,0.0044,,
sex,17,性别,0.0041,,
column,17,栏,0.0041,,
movies,17,电影,0.0041,,
saints,17,圣徒们,0.0041,,
natlang,17,纳特朗,0.0041,,
renesona,17,法语,0.0041,,
cocktails,17,鸡尾酒,0.0041,,
collector,17,收藏家,0.0041,,
it_region,17,区域,0.0041,,
legislator,17,立法者,0.0041,,
monsterceo,17,怪兽座,0.0041,,
filmographies,17,电影,0.0041,,
private_pilot,17,私人驾驶,0.0041,,
type_of_thing,17,类型( W),0.0041,,
character_rank,17,字符排序( R),0.0041,,
animal_synopses,17,动物概要( S),0.0041,,
simpsons_writer,17,Simpsons 写作器,0.0041,,
playboyplaymates,17,游戏玩家,0.0041,,
medical_specialty,17,医学   专科,0.0041,,
recipe_ingredient,17,食谱,0.0041,,
technologyofdoing,17,技术,0.0041,,
tv_series_episode,17,tv 系列 集成,0.0041,,
board_member_title,17,棋盘 成员 标题,0.0041,,
information_source,17,信息 来源,0.0041,,
programming_language,17,编程 语言,0.0041,,
territorial_authority,17,领土权限,0.0041,,
theater_production_staff_role,17,剧场 制作 工作人员 角色,0.0041,,
thoroughbred_racehorse_origin,17,纯种马( R),0.0041,,
moscowinternationalfilmfestival,17,国际电影节,0.0041,,
danm,16,数字,0.0039,,
life,16,生活状况,0.0039,,
pets,16,宠物,0.0039,,
cancer,16,癌症,0.0039,,
borough,16,区,0.0039,,
dfhuynh,16,dfhuynh (英语).,0.0039,,
esamsoe,16,香肠,0.0039,,
cemetery,16,墓地,0.0039,,
duck1123,16,鸭子1123,0.0039,,
grossout,16,毛出数,0.0039,,
my_stuff,16,我的东西,0.0039,,
architect,16,建筑师,0.0039,,
flavoring,16,风味,0.0039,,
tallships,16,高级船舶,0.0039,,
crime_type,16,犯罪类型,0.0039,,
game_genre,16,游戏类型( G),0.0039,,
losangeles,16,罗桑格尔斯,0.0039,,
animalnames,16,动物名称,0.0039,,
cn_province,16,cn 省会,0.0039,,
illustrator,16,插图,0.0039,,
performance,16,业绩,0.0039,,
marciopadrao,16,马尔西奥帕德拉奥,0.0039,,
grupos_musicais,16,音乐,0.0039,,
nuclear_weapons,16,核武器,0.0039,,
type_instrument,16,类型( I),0.0039,,
aviophobic_person,16,恐惧症( P),0.0039,,
long_list_nominee,16,ưμ㼯A,0.0039,,
assassinated_person,16,暗杀( P),0.0039,,
death_causing_event,16,死亡( C),0.0039,,
tribecafilmfestival,16,部落电影节,0.0039,,
goldenageofhollywood,16,金色的万合金树,0.0039,,
metropolitan_transit,16,大都会  transit,0.0039,,
advertisingcharacters,16,广告人物,0.0039,,
academyofcountrymusicawards,16,乡村音乐奖,0.0039,,
x2008_presidential_election,16,x2008 总统选举 选举,0.0039,,
cryptid_observation_location,16,密码( O),0.0039,,
geographical_feature_category,16,地理   地貌  类别,0.0039,,
mineralwaterandmineralsprings,16,矿泉水,0.0039,,
war,15,战争,0.0036,,
party,15,政党,0.0036,,
women,15,妇女,0.0036,,
berlin,15,贝林,0.0036,,
gender,15,性别,0.0036,,
museum,15,博物馆,0.0036,,
austria,15,奥地利,0.0036,,
shashank,15,沙汉克,0.0036,,
startrek,15,启动,0.0036,,
sunlight,15,阳光,0.0036,,
physician,15,医生,0.0036,,
woodstock,15,树木,0.0036,,
serjtankian,15,塞尔维亚,0.0036,,
shaped_city,15,形状( C),0.0036,,
entertainers,15,艺人,0.0036,,
port_of_call,15,调用端口( O),0.0036,,
ukparliament,15,议会,0.0036,,
injured_person,15,受伤人员,0.0036,,
ontology_class,15,肿瘤学类( C),0.0036,,
victoriassecret,15,胜利秘密,0.0036,,
character_powers,15,字符权限( V),0.0036,,
competition_type,15,竞争( T),0.0036,,
operating_system,15,操作系统,0.0036,,
collective_member,15,集体成员,0.0036,,
music_video_genre,15,音乐 视频 流派,0.0036,,
proposition_issue,15,命题  问题,0.0036,,
cataloged_composer,15,编目( C),0.0036,,
dated_location_test,15,日期( I) 测试,0.0036,,
news_reported_event,15,新闻  已报告事件,0.0036,,
product_placing_media,15,产品( P),0.0036,,
former_french_colonies,15,前法国语   殖民地,0.0036,,
type_of_fictional_setting,15,类型( O),0.0036,,
tournament_event_competitor,15,锦标赛  活动  竞争者,0.0036,,
medicalchinesetermswithpinyin,15,使用pinyin的医学术语,0.0036,,
rail,14,铁路,0.0034,,
pusan,14,脓,0.0034,,
anzacs,14,愤怒,0.0034,,
madmen,14,疯子,0.0034,,
ansamcw,14,半径,0.0034,,
elliott,14,椭圆,0.0034,,
tseliot,14,齐略特,0.0034,,
ignoreme,14,别理我,0.0034,,
software,14,软件,0.0034,,
familyguy,14,家里人吗?,0.0034,,
fr_region,14,区域,0.0034,,
leicester,14,莱斯特,0.0034,,
lovecraft,14,爱情,0.0034,,
automotive,14,汽车,0.0034,,
anime_title,14,动画标题( T),0.0034,,
it_province,14,省会,0.0034,,
anime_series,14,anime 序列,0.0034,,
civil_parish,14,民事( P),0.0034,,
permaculture,14,长期农业,0.0034,,
club_interest,14,俱乐部 利息,0.0034,,
contractbridge,14,合同桥,0.0034,,
proposal_agent,14,建议代理人( A),0.0034,,
ballet_composer,14,芭蕾舞  组合器,0.0034,,
military_awards,14,军衔,0.0034,,
nl_municipality,14,nl 市镇,0.0034,,
audio_book_reader,14,音频读取器,0.0034,,
baseball_position,14,棒球位置( P),0.0034,,
concepts_theories,14,概念 理论,0.0034,,
visual_art_medium,14,视觉   艺术  中,0.0034,,
family_guy_reference,14,家族( G),0.0034,,
film_casting_director,14,电影 广播 导演,0.0034,,
processor_manufacturer,14,处理器 制造商,0.0034,,
religious_organization,14,宗教组织,0.0034,,
fictional_organization_type,14,虚构 组织 类型,0.0034,,
province_traditional_eighteen,14,省   传统 十八省,0.0034,,
religious_leadership_jurisdiction,14,宗教 领导 管辖权,0.0034,,
national_concrete_canoe_competition,14,国家( C),0.0034,,
star_shaped_cities_and_citadels_in_germany,14,恒星 形状 城市 和 citadels in germany,0.0034,,
ca,13,3个,0.0032,,
ch,13,页:1,0.0032,,
cheza,13,切萨,0.0032,,
barbie,13,巴比语Name,0.0032,,
dining,13,餐厅,0.0032,,
ikariam,13,爱奇艺,0.0032,,
de_state,13,状态,0.0032,,
survivor,13,幸存者,0.0032,,
time_zone,13,时区( Z),0.0032,,
coinsdaily,13,硬币每日,0.0032,,
competitor,13,竞争者,0.0032,,
girlscouts,13,女童,0.0032,,
gossipgirl,13,闲话女孩,0.0032,,
iceandfire,13,冰冻火,0.0032,,
lookalikes,13,长得像,0.0032,,
marsupials,13,残废,0.0032,,
achievement,13,成绩,0.0032,,
my_homepage,13,我的首页,0.0032,,
shareholder,13,股东,0.0032,,
sponsorship,13,赞助,0.0032,,
council_area,13,理事会区域,0.0032,,
school_mascot,13,学校( mascot),0.0032,,
sports_league,13,运动同事,0.0032,,
mountain_range,13,山脉( R),0.0032,,
seasonal_month,13,季节( M),0.0032,,
wealthy_person,13,有钱人,0.0032,,
digitalarchivist,13,数字档案学家,0.0032,,
railway_terminus,13,铁路 结束,0.0032,,
theater_designer,13,剧场设计器( D),0.0032,,
proofsareprograms,13,证明程序,0.0032,,
tv_song_performer,13,tv song perforce (帮助),0.0032,,
fictional_employer,13,虚构的雇主,0.0032,,
fictional_language,13,虚构   语言,0.0032,,
williamshakespeare,13,威廉・沙克斯皮亚,0.0032,,
film_festival_focus,13,电影 庆典 焦点,0.0032,,
subject_of_festival,13,主题 庆典,0.0032,,
comic_book_character,13,漫画   book 特性,0.0032,,
notable_conservative,13,显著的保守,0.0032,,
fictional_organization,13,虚构组织( O),0.0032,,
top_level_domain_sponsor,13,顶级 域名 赞助商,0.0032,,
first_achievement_category,13,第一个( A),0.0032,,
united_nations_member_state,13,统一( N) 成员 状态,0.0032,,
ie,12,iE (英语).,0.0029,,
word,12,单词,0.0029,,
hkiff,12,ưμ㼯A,0.0029,,
month,12,月数,0.0029,,
cycling,12,循环,0.0029,,
embassy,12,大使馆,0.0029,,
monster,12,怪兽,0.0029,,
vermont,12,弗蒙特语Name,0.0029,,
adoption,12,收养,0.0029,,
slovakia,12,斯洛文尼亚语Name,0.0029,,
krautrock,12,德国摇滚,0.0029,,
macarthur,12,马迦图尔,0.0029,,
scientist,12,科学家,0.0029,,
sportbase,12,体育基地,0.0029,,
typefaces,12,类型面,0.0029,,
electronic,12,电子,0.0029,,
ship_owner,12,船东,0.0029,,
switzerland,12,斯维策兰,0.0029,,
common_sense,12,常识( S),0.0029,,
fgdc_keyword,12,fgdc 关键词,0.0029,,
hall_of_fame,12,图标( F),0.0029,,
ship_builder,12,建造船,0.0029,,
loveyou2madly,12,爱你两个疯狂,0.0029,,
existentialism,12,存在主义,0.0029,,
game_character,12,游戏( C),0.0029,,
programmingart,12,编程艺术,0.0029,,
Futures_Studies,12,未来  研究,0.0029,,
animal_synopsis,12,动物概要,0.0029,,
pvonstackelberg,12,彭斯塔克尔贝格,0.0029,,
geographic_scope,12,地理范围,0.0029,,
macarthur_fellow,12,毛发  fellow,0.0029,,
montagueinstitute,12,蒙塔格扬,0.0029,,
order_of_chivalry,12,缩略语( I),0.0029,,
us_vice_president,12,us vice president,0.0029,,
computing_platform,12,计算( P),0.0029,,
ad_network_vertical,12,ad 网络 垂直,0.0029,,
internet_video_creator,12,互联网 视频 创建者,0.0029,,
millvalleyfilmfestival,12,米瓦利电影节,0.0029,,
theatrical_orchestrator,12,戏剧家,0.0029,,
operating_system_developer,12,操作 系统开发者,0.0029,,
veniceinternationalfilmfestival,12,国际电影节,0.0029,,
buffy,11,ffy,0.0027,,
client,11,客户端,0.0027,,
fringe,11,边缘,0.0027,,
nascar,11,纳斯卡尔,0.0027,,
ottawa,11,奥塔瓦,0.0027,,
airline,11,航空公司,0.0027,,
cuisine,11,厨艺,0.0027,,
lindenb,11,林顿b,0.0027,,
monarch,11,国王,0.0027,,
produce,11,生产,0.0027,,
eurotrip,11,欧元,0.0027,,
musician,11,音乐家,0.0027,,
myplaces,11,我的住处,0.0027,,
provider,11,提供者,0.0027,,
djproctor,11,编导,0.0027,,
food_menu,11,食物菜单,0.0027,,
terrorism,11,恐怖主义,0.0027,,
connection,11,连接,0.0027,,
dead_by_30,11,至30岁,0.0027,,
horsefacts,11,马的假象,0.0027,,
wastrology,11,编年史,0.0027,,
lubenotlube,11,润滑油,0.0027,,
nl_province,11,nl 省会,0.0027,,
partnership,11,伙伴关系,0.0027,,
sports_test,11,运动测试( T),0.0027,,
groovehunter,11,格鲁弗猎手,0.0027,,
jp_city_town,11,jp 城市 镇,0.0027,,
clique_member,11,成员,0.0027,,
fashion_model,11,时尚模式,0.0027,,
bollywood_films,11,胶片,0.0027,,
company_advisor,11,公司咨询,0.0027,,
merge_candidate,11,合并( C),0.0027,,
cities_and_towns,11,城市( 和城镇),0.0027,,
classiccorvettes,11,经典科维特,0.0027,,
collective_focus,11,组合焦点,0.0027,,
sharing_location,11,共享位置( S),0.0027,,
trademark_holder,11,商标持有人,0.0027,,
fictionaluniverse,11,虚构单曲,0.0027,,
primary_candidate,11,初级日期( C),0.0027,,
virginiabroadband,11,处女宽带,0.0027,,
computer_videogame,11,计算机 视频游戏,0.0027,,
conservationaction,11,养护行动,0.0027,,
veterinarymedicine,11,兽医,0.0027,,
secret_society_member,11,secret social 成员,0.0027,,
country_musical_groups,11,国家 音乐 组,0.0027,,
satellite_manufacturer,11,卫星制造器,0.0027,,
science_and_development,11,科学 与发展,0.0027,,
metropolitan_area_anchor,11,大都会( A),0.0027,,
counties_parishes_and_boroughs,11,县( parishes  and boroughs),0.0027,,
at,10,时间,0.0024,,
mx,10,mx 数据,0.0024,,
rank,10,军衔,0.0024,,
forts,10,堡垒,0.0024,,
river,10,河流,0.0024,,
banned,10,禁用内容,0.0024,,
caveart,10,洞穴艺术,0.0024,,
cricket,10,板球,0.0024,,
farmfed,10,农牧业,0.0024,,
oakland,10,奥克兰,0.0024,,
surfing,10,冲浪,0.0024,,
webpage,10,网页,0.0024,,
godchild,10,童神灵,0.0024,,
jdouglas,10,日语,0.0024,,
indonesia,10,国家,0.0024,,
knockoffs,10,淘汰赛,0.0024,,
politeuri,10,礼貌,0.0024,,
realitytv,10,现实v,0.0024,,
wrestling,10,摔跤,0.0024,,
knockoffed,10,击倒,0.0024,,
mediaasset,10,媒体资产,0.0024,,
mexicanfood,10,墨西哥食品,0.0024,,
uk_dominion,10,uk dominion 语句,0.0024,,
americanidol,10,美国醇,0.0024,,
christianity,10,基督教会,0.0024,,
maxhudson184,10,最大宽度184,0.0024,,
phpdeveloper,10,开发者,0.0024,,
usgovernment,10,我们的政府,0.0024,,
comedy_writer,10,喜剧作家,0.0024,,
famous_author,10,著名作者( A),0.0024,,
meeting_focus,10,会议 焦点,0.0024,,
technopundits,10,技术,0.0024,,
filmfareawards,10,胶片,0.0024,,
magazine_topic,10,杂志主题,0.0024,,
martial_artist,10,武术家,0.0024,,
animalpathology,10,动物病理学,0.0024,,
baseball_player,10,棒球运动员,0.0024,,
cultivar_origin,10,种植地 原产地,0.0024,,
places_eastward,10,向东,0.0024,,
subject_of_diet,10,标题( D),0.0024,,
birdconservation,10,鸟类保护,0.0024,,
building_complex,10,新建复数( Complex),0.0024,,
chemical_element,10,化学元素( E),0.0024,,
engineeringdraft,10,工程草稿,0.0024,,
gift_card_issuer,10,赠与( C),0.0024,,
italian_loanword,10,意大利语   借词,0.0024,,
treaty_signatory,10,条约签署者,0.0024,,
country_of_origin,10,原产地国( O),0.0024,,
non_character_role,10,非字符( C),0.0024,,
battlestargalactica,10,星际银河系,0.0024,,
bv_venture_investor,10,bv 冒险 投资人,0.0024,,
comic_book_penciler,10,漫画  book  penciler,0.0024,,
film_song_performer,10,电影( S),0.0024,,
historicalcountries,10,历史国家,0.0024,,
type_of_performance,10,性能类型( O),0.0024,,
metropolitan_borough,10,大都会( B),0.0024,,
unitary_authority_city,10,单体 权威 城市,0.0024,,
womenauthorsinsffantasy,10,妇女作家,0.0024,,
x2011internationalyearforpeopleofafricandescent,10,x2011 非洲人民国际年,0.0024,,
http_www_youtube_com_watch_feature_player_embedded_v_awxa4fxnufu,10,http www youtube com watch feature player embeded v awxa4fxnufu(英语:,0.0024,,
tag,9,标签,0.0022,,
band,9,带,0.0022,,
asset,9,资产,0.0022,,
fruit,9,果实,0.0022,,
delany,9,德兰尼,0.0022,,
louvre,9,卢弗尔,0.0022,,
patron,9,赞助者,0.0022,,
sameas,9,同为,0.0022,,
stbase,9,标准,0.0022,,
svocab,9,摇篮,0.0022,,
tdotoh,9,tdotoh 语录,0.0022,,
peleton,9,皮尔顿,0.0022,,
thinker,9,思维家,0.0022,,
activity,9,活动,0.0022,,
argentina,9,阿根廷,0.0022,,
ecoregion,9,生态区域,0.0022,,
livemusic,9,现场音乐,0.0022,,
territory,9,领土,0.0022,,
